종목단축코드,기업명,신규상장일,최초상장주식수(주),액면가,통화구분,공모가(원),업종,주간사
303360,(주)프로테옴텍,"2018/12/19","4,356,152","500","원(KRW)",,의료용품 및 기타 의약 관련제품 제조업,한국투자증권
307750,대신밸런스제6호기업인수목적(주),"2018/12/19","5,010,000","100","원(KRW)","2,000",금융 지원 서비스업,대신증권㈜
298380,에이비엘바이오(주),"2018/12/19","44,587,000","500","원(KRW)","15,000",기초 의약물질 및 생물학적 제제 제조업,한국투자증권㈜
100590,(주)머큐리,"2018/12/14","14,763,600","500","원(KRW)","6,100",통신 및 방송 장비 제조업,미래에셋대우(주)
110020,전진바이오팜(주),"2018/12/14","4,733,428","500","원(KRW)","10,000",기타 화학제품 제조업,미래에셋대우(주)
270870,(주)뉴트리,"2018/12/13","9,032,224","500","원(KRW)","14,500",기타 식품 제조업,미래에셋대우(주)
302430,(주)이노메트리,"2018/12/12","4,825,108","500","원(KRW)","26,000",특수 목적용 기계 제조업,유진투자증권㈜
307870,상상인이안제1호기업인수목적(주),"2018/12/12","4,750,000","100","원(KRW)","2,000",금융 지원 서비스업,㈜상상인증권
290120,(주)대유에이피,"2018/12/07","10,884,000","500","원(KRW)","3,000",자동차 신품 부품 제조업,신영증권㈜
307070,에스케이에이씨피씨제4호기업인수목적(주),"2018/12/07","5,160,000","100","원(KRW)","2,000",금융 지원 서비스업,SK증권㈜
307280,교보8호기업인수목적(주),"2018/12/05","3,720,000","100","원(KRW)","2,000",금융 지원 서비스업,교보증권㈜
128540,에코캡 주식회사,"2018/12/05","14,558,800","100","원(KRW)","4,200",자동차 신품 부품 제조업,IBK투자증권㈜
299910,(주)베스파,"2018/12/03","7,986,521","500","원(KRW)","35,000",소프트웨어 개발 및 공급업,미래에셋대우(주)
271780,(주)비엔에프코퍼레이션,"2018/11/30","3,000,000","100","원(KRW)",,1차 비철금속 제조업,IBK투자증권
900340,윙입푸드홀딩스,"2018/11/30","40,409,095","0","홍콩달러(HKD)","2,000",기타 금융업,유진투자증권㈜
307160,하나머스트제6호기업인수목적(주),"2018/11/30","4,590,000","100","원(KRW)","2,000",금융 지원 서비스업,하나금융투자㈜
179290,(주)엠아이텍,"2018/11/29","27,456,200","500","원(KRW)","4,500",의료용 기기 제조업,하나금융투자㈜
117730,(주)티로보틱스,"2018/11/29","5,399,459","500","원(KRW)","16,000",특수 목적용 기계 제조업,키움증권㈜
111710,남화산업(주),"2018/11/29","20,588,000","200","원(KRW)","3,700",스포츠 서비스업,대신증권㈜
290660,(주)네오펙트,"2018/11/28","11,718,545","500","원(KRW)","11,000",의료용 기기 제조업,한국투자증권㈜
246710,(주)티앤알바이오팹,"2018/11/28","8,118,084","500","원(KRW)","18,000",기초 의약물질 및 생물학적 제제 제조업,키움증권㈜
207490,에이펙스인텍(주),"2018/11/28","3,600,000","500","원(KRW)",,전구 및 조명장치 제조업,IBK투자증권
288490,(주)나라소프트,"2018/11/23","24,770,000","100","원(KRW)",,소프트웨어 개발 및 공급업,IBK투자증권
267850,아시아나아이디티(주),"2018/11/23","11,100,000","500","원(KRW)","15,000","컴퓨터 프로그래밍, 시스템 통합 및 관리업",KB증권㈜
263690,(주)디알젬,"2018/11/22","11,325,610","500","원(KRW)","6,500",의료용 기기 제조업,한국투자증권㈜
217330,(주)싸이토젠,"2018/11/22","5,633,864","500","원(KRW)","17,000",자연과학 및 공학 연구개발업,키움증권㈜
208340,(주)파멥신,"2018/11/21","6,805,637","500","원(KRW)","60,000",의약품 제조업,"KB증권㈜,삼성증권㈜"
027360,아주아이비투자(주),"2018/11/21","118,714,050","500","원(KRW)","1,500",기타 금융업,미래에셋대우(주)
263020,(주)디케이앤디,"2018/11/20","7,601,025","500","원(KRW)","6,000",플라스틱제품 제조업,키움증권㈜
122050,주식회사 아이엘사이언스,"2018/11/16","6,228,822","500","원(KRW)",,전구 및 조명장치 제조업,한국투자증권
227100,디자인(주),"2018/11/15","2,660,910","500","원(KRW)","10,100","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",대신증권㈜
194700,(주)노바렉스,"2018/11/14","9,003,740","500","원(KRW)","19,000",기타 식품 제조업,엔에이치투자증권주식회사
268600,(주)셀리버리,"2018/11/09","7,148,321","500","원(KRW)","25,000",자연과학 및 공학 연구개발업,DB금융투자주식회사
290670,대보마그네틱(주),"2018/11/06","3,232,600","500","원(KRW)","31,000",기타 전기장비 제조업,한국투자증권㈜
285490,(주)노바텍,"2018/11/02","4,626,800","500","원(KRW)","10,000",그외 기타 제품 제조업,하나금융투자㈜
290650,(주)엘앤씨바이오,"2018/11/01","7,234,332","500","원(KRW)","24,000",의약품 제조업,한국투자증권㈜
306620,디비금융제6호기업인수목적(주),"2018/10/31","4,840,000","100","원(KRW)","2,000",금융 지원 서비스업,DB금융투자주식회사
108490,(주)로보티즈,"2018/10/26","11,251,000","500","원(KRW)","14,000",특수 목적용 기계 제조업,미래에셋대우(주)
153710,(주)옵티팜,"2018/10/26","14,217,258","500","원(KRW)","10,000",의료용품 및 기타 의약 관련제품 제조업,엔에이치투자증권주식회사
288620,에스퓨얼셀(주),"2018/10/15","5,744,316","500","원(KRW)","16,500","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",한국투자증권㈜
290720,(주)푸드나무,"2018/10/04","6,806,034","500","원(KRW)","24,000",무점포 소매업,미래에셋대우(주)
293580,나우아이비캐피탈(주),"2018/10/04","9,480,000","5,000","원(KRW)","8,500",기타 금융업,신영증권㈜
293480,하나제약(주),"2018/10/02","16,200,000","500","원(KRW)","26,000",의약품 제조업,미래에셋대우(주)
110790,(주)크리스에프앤씨,"2018/10/01","11,715,480","1,000","원(KRW)","30,000",봉제의복 제조업,KB증권㈜
219750,(주)지티지웰니스,"2018/09/21","5,652,665","500","원(KRW)","11,000",의료용 기기 제조업,대신증권㈜
299170,아이비케이에스제10호기업인수목적(주),"2018/09/21","4,330,000","100","원(KRW)","2,000",금융 지원 서비스업,IBK투자증권㈜
010400,(주)우진아이엔에스,"2018/09/14","7,622,000","500","원(KRW)","15,000",건물설비 설치 공사업,신영증권㈜
257370,명성티엔에스(주),"2018/09/13","6,370,000","500","원(KRW)","20,000",특수 목적용 기계 제조업,KB증권㈜
291230,삼성기업인수목적2호(주),"2018/09/13","7,550,000","100","원(KRW)","2,000",금융 지원 서비스업,삼성증권㈜
140610,(주)엔솔바이오사이언스,"2018/09/10","8,395,660","500","원(KRW)",,자연과학 및 공학 연구개발업,키움증권
197140,(주)디지캡,"2018/09/07","3,531,115","500","원(KRW)","12,000",소프트웨어 개발 및 공급업,KB증권㈜
303030,(주)지니틱스,"2018/08/30","4,110,000","100","원(KRW)","2,000",반도체 제조업,대신증권㈜
290740,(주)액트로,"2018/08/28","5,000,054","500","원(KRW)","20,000",전자부품 제조업,키움증권㈜
173130,(주)오파스넷,"2018/08/24","4,025,902","500","원(KRW)","11,000","컴퓨터 프로그래밍, 시스템 통합 및 관리업",교보증권㈜
089970,에이피티씨(주),"2018/08/23","23,234,595","100","원(KRW)","9,000",특수 목적용 기계 제조업,대신증권㈜
086820,주식회사 바이오솔루션,"2018/08/20","7,659,926","500","원(KRW)","29,000",기초 의약물질 및 생물학적 제제 제조업,한국투자증권㈜
302550,(주)리메드,"2018/08/14","4,717,846","500","원(KRW)",,의료용 기기 제조업,한국투자증권
302920,(주)더콘텐츠온,"2018/08/13","2,599,980","500","원(KRW)",,"영화, 비디오물, 방송프로그램 제작 및 배급업",IBK투자증권
290380,(주)대유,"2018/08/10","9,052,400","500","원(KRW)","9,000","비료, 농약 및 살균, 살충제 제조업",KB증권㈜
293940,(주)신한알파위탁관리부동산투자회사,"2018/08/08","38,106,123","1,000","원(KRW)","5,000",부동산 임대 및 공급업,신한금융투자㈜
110990,디아이티 주식회사,"2018/08/07","18,900,000","100","원(KRW)","10,000",특수 목적용 기계 제조업,삼성증권㈜
