Date,High,Low,Open,Close,Volume,Adj Close
2009-01-02,16000.0,14550.0,14850.0,16000.0,1034243.0,12163.3974609375
2009-01-05,16400.0,15650.0,16200.0,15950.0,989729.0,12125.3876953125
2009-01-06,16550.0,15650.0,16050.0,15850.0,1265094.0,12049.3642578125
2009-01-07,17400.0,15950.0,16100.0,17150.0,1870652.0,13037.6435546875
2009-01-08,17700.0,16700.0,16800.0,17400.0,1359477.0,13227.6953125
2009-01-09,18100.0,16850.0,17700.0,16850.0,1457738.0,12809.580078125
2009-01-12,16850.0,16050.0,16650.0,16100.0,773056.0,12239.4189453125
2009-01-13,16500.0,15600.0,15900.0,16500.0,713822.0,12543.5048828125
2009-01-14,17350.0,16300.0,16450.0,17200.0,1121201.0,13075.6533203125
2009-01-15,16400.0,15000.0,16250.0,15050.0,1157404.0,11441.1962890625
2009-01-16,15650.0,15050.0,15400.0,15550.0,1095416.0,11821.302734375
2009-01-19,16000.0,15200.0,15700.0,15500.0,856079.0,11783.291015625
2009-01-20,15300.0,14050.0,15300.0,14100.0,1777917.0,10718.994140625
2009-01-21,14600.0,13150.0,13200.0,14200.0,1029232.0,10795.015625
2009-01-22,14900.0,14200.0,14800.0,14300.0,500534.0,10871.0361328125
2009-01-23,14100.0,13600.0,14000.0,13700.0,571357.0,10414.91015625
2009-01-28,14550.0,14100.0,14100.0,14550.0,632083.0,11061.091796875
2009-01-29,14900.0,14250.0,14900.0,14350.0,592976.0,10909.046875
2009-01-30,14600.0,13950.0,14000.0,14600.0,358529.0,11099.099609375
2009-02-02,15100.0,14300.0,14300.0,14700.0,681271.0,11175.123046875
2009-02-03,15300.0,14750.0,14950.0,15300.0,662247.0,11631.2509765625
2009-02-04,15650.0,15350.0,15500.0,15550.0,929946.0,11821.302734375
2009-02-05,15450.0,14900.0,15450.0,14900.0,597887.0,11327.1650390625
2009-02-06,15700.0,15100.0,15250.0,15700.0,684941.0,11935.333984375
2009-02-09,16750.0,16150.0,16200.0,16400.0,1806493.0,12467.482421875
2009-02-10,16750.0,15900.0,16650.0,16700.0,1197363.0,12695.548828125
2009-02-11,17700.0,16000.0,16250.0,17500.0,1536688.0,13303.716796875
2009-02-12,17550.0,16650.0,17500.0,16900.0,870416.0,12847.5888671875
2009-02-13,18200.0,17050.0,17100.0,18200.0,1370831.0,13835.86328125
2009-02-16,18400.0,17150.0,17800.0,17400.0,907133.0,13227.6953125
2009-02-17,17400.0,15550.0,17400.0,15600.0,959112.0,11859.3125
2009-02-18,16050.0,14850.0,15400.0,15850.0,900499.0,12049.3642578125
2009-02-19,16200.0,15050.0,16050.0,15400.0,571478.0,11707.2705078125
2009-02-20,15200.0,14050.0,15050.0,14300.0,827853.0,10871.0361328125
2009-02-23,15350.0,14050.0,14150.0,15100.0,515869.0,11479.2060546875
2009-02-24,14450.0,13900.0,14300.0,14350.0,694601.0,10909.046875
2009-02-25,15000.0,13700.0,14900.0,13700.0,923592.0,10414.91015625
2009-02-26,14350.0,13350.0,13900.0,13700.0,530991.0,10414.91015625
2009-02-27,14650.0,13950.0,14250.0,14400.0,763732.0,10947.056640625
2009-03-02,14950.0,13750.0,14200.0,14750.0,858716.0,11213.1318359375
2009-03-03,14700.0,13950.0,14100.0,14600.0,494390.0,11099.099609375
2009-03-04,15200.0,14300.0,14550.0,15100.0,624291.0,11479.2060546875
2009-03-05,15250.0,14250.0,15250.0,14450.0,1124943.0,10985.0693359375
2009-03-06,14300.0,13850.0,13900.0,14000.0,461561.0,10642.9736328125
2009-03-09,14250.0,13900.0,14050.0,14100.0,672702.0,10718.994140625
2009-03-10,14800.0,13800.0,13800.0,14700.0,621081.0,11175.123046875
2009-03-11,16250.0,14850.0,15200.0,16250.0,1670690.0,12353.4501953125
2009-03-12,16150.0,15350.0,16000.0,15700.0,786542.0,11935.333984375
2009-03-13,16500.0,15750.0,16150.0,16300.0,685334.0,12391.462890625
2009-03-16,16850.0,16300.0,16500.0,16400.0,642624.0,12467.482421875
