Date,High,Low,Open,Close,Volume,Adj Close
2013-04-08,173000.0,148500.0,170500.0,148500.0,457548.0,144311.25
2013-04-09,162000.0,147500.0,149500.0,152000.0,351390.0,147712.53125
2013-04-10,156500.0,142500.0,153500.0,153000.0,294955.0,148684.3125
2013-04-11,175000.0,153500.0,154000.0,170000.0,272987.0,165204.8125
2013-04-12,184500.0,170500.0,172000.0,175000.0,209749.0,170063.78125
2013-04-15,189500.0,170000.0,175000.0,178000.0,119520.0,172979.125
2013-04-16,178000.0,170000.0,178000.0,171000.0,106598.0,166176.578125
2013-04-17,174000.0,160000.0,171000.0,170000.0,91113.0,165204.8125
2013-04-18,171000.0,163500.0,163500.0,166500.0,49906.0,161803.5
2013-04-19,168000.0,156500.0,165000.0,166000.0,124623.0,161317.625
2013-04-22,168000.0,162500.0,165500.0,163000.0,50775.0,158402.234375
2013-04-23,164000.0,156000.0,164000.0,156500.0,76809.0,152085.578125
2013-04-24,158000.0,143000.0,157500.0,144500.0,295972.0,140424.0625
2013-04-25,151000.0,143500.0,146000.0,147000.0,130756.0,142853.5625
2013-04-26,148000.0,142000.0,147500.0,145500.0,83819.0,141395.875
2013-04-29,147000.0,142500.0,145500.0,143000.0,55603.0,138966.390625
2013-04-30,151000.0,143000.0,145000.0,149000.0,127450.0,144797.140625
2013-05-02,154000.0,148500.0,150000.0,148500.0,82588.0,144311.25
2013-05-03,165500.0,145000.0,145500.0,163000.0,375036.0,158402.234375
2013-05-06,168000.0,159500.0,165000.0,166500.0,90981.0,161803.5
2013-05-07,169000.0,160500.0,165000.0,163000.0,56345.0,158402.234375
2013-05-08,163500.0,161000.0,161000.0,163500.0,286514.0,158888.15625
2013-05-09,167500.0,158500.0,165500.0,160000.0,55879.0,155486.84375
2013-05-10,167000.0,158000.0,161000.0,165000.0,57597.0,160345.828125
2013-05-13,167500.0,162000.0,163500.0,165000.0,33415.0,160345.828125
2013-05-14,165000.0,161000.0,165000.0,161000.0,44604.0,156458.65625
2013-05-15,162000.0,146500.0,161000.0,156000.0,93331.0,151599.6875
2013-05-16,155500.0,148000.0,152500.0,153000.0,67244.0,148684.3125
2013-05-20,153000.0,148000.0,150000.0,148000.0,42658.0,143825.359375
2013-05-21,156500.0,148000.0,148000.0,156500.0,37676.0,152085.578125
2013-05-22,156500.0,152500.0,156500.0,153500.0,26507.0,149170.21875
2013-05-23,155500.0,150500.0,155500.0,150500.0,22704.0,146254.828125
2013-05-24,156500.0,150000.0,151000.0,151000.0,20523.0,146740.71875
2013-05-27,154500.0,150000.0,152000.0,150500.0,15495.0,146254.828125
2013-05-28,154000.0,149500.0,150500.0,154000.0,23800.0,149656.125
2013-05-29,155000.0,151000.0,155000.0,153500.0,29885.0,149170.21875
2013-05-30,154000.0,147000.0,154000.0,148500.0,40111.0,144311.25
2013-05-31,149500.0,134000.0,149500.0,142500.0,127413.0,138480.5
2013-06-03,142000.0,135500.0,140000.0,135500.0,81359.0,131677.9375
2013-06-04,138500.0,125500.0,135500.0,127000.0,133615.0,123417.6953125
2013-06-05,130500.0,125000.0,127500.0,125000.0,64486.0,121474.1171875
2013-06-07,130000.0,126000.0,126500.0,129000.0,35912.0,125361.2890625
2013-06-10,131500.0,125500.0,130000.0,127000.0,30320.0,123417.6953125
2013-06-11,134500.0,126500.0,127000.0,133500.0,64359.0,129734.3515625
2013-06-12,135000.0,130500.0,133000.0,131500.0,27247.0,127790.765625
2013-06-13,132500.0,124500.0,131500.0,130500.0,40940.0,126818.96875
2013-06-14,130500.0,126000.0,129500.0,126500.0,26327.0,122931.8046875
2013-06-17,128000.0,121500.0,125500.0,123500.0,39096.0,120016.4140625
2013-06-18,126500.0,118000.0,126500.0,119500.0,63633.0,116129.25
2013-06-19,120000.0,111000.0,119000.0,112500.0,101144.0,109326.703125
2013-06-20,112000.0,104000.0,110000.0,110000.0,113888.0,106897.21875
2013-06-21,112000.0,106500.0,107000.0,111500.0,67771.0,108354.90625
2013-06-24,119000.0,109500.0,111500.0,115500.0,60057.0,112242.0703125
2013-06-25,117000.0,109500.0,114000.0,111000.0,22160.0,107869.0078125
